mb_norm_id,max_prob_all_reviews_for_MB,HT_max_lex_score,HT_avg_lex_score
27.89527:-82.78328#,0.79531,2,0.33
28.68496:-81.40386#,0.9662,2,0.33
25.78004:-80.25500#,0.87228,2,0.32
25.85553:-80.12985#,1,2,0.32
28.55900:-81.36423#,1,2,0.32
27.64908:-80.37722#,0.60391,2,0.31
25.86168:-80.31416#,0.98743,2,0.3
25.86626:-80.29735#,0.53734,2,0.3
26.15653:-80.13838#,0.52665,2,0.3
26.18715:-80.25110#,0.73462,2,0.3
26.21425:-81.79882#,0.80915,2,0.3
26.28808:-80.24897#,0.62978,2,0.3
26.31899:-80.11151#,1,2,0.3
26.35127:-80.08435#5,0.99993,2,0.3
27.89336:-82.28212#,0.99674,2,0.3
27.93734:-82.48970#,0.54525,2,0.3
27.94347:-82.47432#,0.89711,2,0.3
28.00570:-82.77513#,0.72073,2,0.3
28.46778:-81.30858#,0.99948,2,0.3
28.55290:-81.35382#,0.57163,2,0.3
29.47442:-81.12441#,0.96158,2,0.3
30.15318:-85.75102#,0.98195,2,0.3
26.01140:-80.24730#,0.60396,2,0.29
26.52789:-80.09718#,0.59344,2,0.29
27.93462:-82.29443#,0.99997,2,0.29
28.69828:-81.34819#,0.53284,2,0.29
26.14107:-80.25639#,0.73183,2,0.27
25.75028:-80.23187#,0.99924,2,0.25
25.81312:-80.35510#,0.7415,2,0.25
26.02990:-80.24998#,0.5001,2,0.25
26.09738:-80.25218#,0.71124,2,0.25
27.29346:-82.53006#,0.83183,2,0.25
27.84398:-82.78670#201,0.90698,2,0.25
27.92952:-82.50730#,0.8248,2,0.25
28.32381:-81.65894#,0.65845,2,0.25
29.62172:-82.38301#,0.99297,2,0.25
26.54832:-81.80899#,0.51567,2,0.24
28.03702:-82.70866#,0.67749,2,0.24
28.18349:-82.35457#,0.8364,2,0.24
26.01053:-80.24538#,0.99996,2,0.22
28.33179:-82.69756#,0.99999,2,0.22
26.10061:-80.13594#,0.74982,2,0.21
28.56534:-81.20928#,0.56224,2,0.21
25.73028:-80.40208#,0.7995,2,0.2
25.78720:-80.13290#,0.6619,2,0.2
26.15788:-80.13237#,0.59369,2,0.2
26.40218:-80.07665#,0.86604,2,0.2
26.42646:-80.07167#,0.60333,2,0.2
27.31765:-82.57614#,0.75101,2,0.2
28.09565:-82.73788#,0.74811,2,0.2
28.75551:-81.33734#,0.61356,2,0.19
26.03245:-80.13966#,0.61178,2,0.18
26.13749:-80.11119#,0.95439,2,0.18
28.44379:-81.47570#,0.52614,2,0.18
28.60542:-81.35733#,0.69484,2,0.18
26.10272:-80.13733#,0.99995,2,0.15
28.05728:-82.62680#,0.56914,2,0.15
26.16891:-80.10251#,0.99969,2,0.14
28.35743:-80.69835#,0.99999,2,0.14
26.27158:-81.78883#103,0.58529,2,0.13
25.79757:-80.33084#409,0.86669,2,0.12
28.06878:-82.63033#,0.50511,2,0.12
26.09773:-80.20184#,0.99993,1,1
27.49616:-82.60997#,0.96243,1,1
27.94512:-82.49789#,0.99852,1,1
29.18053:-81.01433#,1,1,1
30.19604:-81.62172#22,0.99991,1,1
30.41954:-87.27503#,0.9865,1,1
30.50497:-84.24740#,0.94125,1,1
28.75494:-81.33910#,0.71439,1,0.67
28.80346:-81.33886#,0.99976,1,0.67
27.44058:-82.57760#,1,1,0.6
28.44909:-81.47656#,0.79546,1,0.57
30.45698:-84.28414#,0.91096,1,0.56
26.04566:-80.26262#,1,1,0.5
26.12404:-80.13688#,0.79215,1,0.5
26.14876:-80.27035#,0.99997,1,0.5
26.24959:-80.20219#9,0.99999,1,0.5
26.35965:-81.80647#6,0.99998,1,0.5
26.40879:-80.07686#,0.99997,1,0.5
26.61871:-80.16747#,0.63196,1,0.5
26.70623:-80.03662#,0.71113,1,0.5
28.21766:-82.66448#,0.99999,1,0.5
29.21194:-81.02090#,0.99979,1,0.5
26.11640:-80.33095#,0.73278,1,0.43
26.35077:-80.08190#,0.99994,1,0.43
27.98767:-82.82640#,0.50037,1,0.42
26.19167:-80.11333#6,0.99998,1,0.4
30.30825:-81.66091#,0.84208,1,0.4
28.54620:-81.20112#,0.75773,1,0.35
26.46552:-80.07294#,0.54977,1,0.33
26.57107:-80.11639#,0.6392,1,0.33
28.05505:-82.73821#,0.805,1,0.33
28.19347:-82.69847#,0.56614,1,0.33
26.45004:-81.94602#,0.9865,1,0.29
29.02915:-80.89793#,0.95293,1,0.29
25.88424:-80.16575#104,0.99161,1,0.25
25.94460:-80.16891#,0.58924,1,0.25
26.54589:-80.08789#,0.83204,1,0.25
27.05267:-82.41042#,0.67625,1,0.25
27.93698:-82.50270#,0.97903,1,0.25
28.47607:-82.61530#,0.95475,1,0.25
29.25880:-81.04915#A,0.99999,1,0.25
30.13589:-81.77652#10,0.99993,1,0.25
30.17324:-81.62562#,0.93753,1,0.25
25.94415:-80.12216#,0.86467,1,0.24
28.15262:-80.59945#,0.82321,1,0.24
25.70381:-80.33444#,0.99999,1,0.22
28.14507:-82.35394#,0.61411,1,0.22
25.77871:-80.29046#,0.90915,1,0.21
25.81088:-80.38277#,0.94692,1,0.2
27.29108:-80.36563#,0.93905,1,0.2
28.05826:-82.73877#,0.769,1,0.2
26.18870:-80.12336#,0.8789,1,0.19
24.56592:-81.76796#403,0.92831,1,0.18
26.24111:-80.25347#,0.66497,1,0.18
25.79535:-80.33759#,0.82522,1,0.17
26.18370:-80.25195#,0.99975,1,0.17
27.92557:-82.51567#,0.76286,1,0.17
27.96584:-82.78666#,0.98745,1,0.17
28.06095:-82.70838#,0.62617,1,0.17
24.55250:-81.80013#,0.73606,1,0.15
26.31982:-80.15287#,0.75536,1,0.15
26.35946:-80.13662#,0.50642,1,0.15
26.59450:-81.94127#,0.50543,1,0.15
27.93269:-82.50518#,0.85485,1,0.15
29.84883:-81.32213#7,0.99736,1,0.15
30.43637:-87.20519#,0.67908,1,0.15
24.55966:-81.79735#,0.78366,1,0.14
25.70020:-80.36107#,0.99991,1,0.14
28.32857:-81.47102#,0.99996,1,0.14
29.18722:-82.12069#,0.99982,1,0.14
30.26834:-81.56110#,0.6435,1,0.13
25.77865:-80.29624#,1,1,0.12
25.82067:-80.33824#,0.55604,1,0.12
26.06369:-80.26084#,0.71408,1,0.12
26.27259:-80.16291#,0.8299,1,0.12
28.56722:-81.25847#,0.99994,1,0.12
29.67831:-82.38832#,0.76761,1,0.12
26.02751:-80.31415#,0.71854,1,0.11
26.54544:-81.91075#,0.67279,1,0.11
27.93615:-82.28201#,0.97822,1,0.11
28.40453:-81.45704#156,0.89175,1,0.11
29.67417:-82.33523#,0.51974,1,0.11
24.55333:-81.79883#,0.66922,1,0.1
25.94458:-80.16882#,0.59422,1,0.1
28.55325:-81.19953#,0.95492,1,0.1
28.59281:-81.35380#,0.77695,1,0.1
28.66448:-81.37938#,0.69391,1,0.1
30.38816:-86.44779#,0.76611,1,0.1
26.54872:-81.80788#,0.56536,1,0.09
27.62328:-80.39001#,0.99996,1,0.09
27.97435:-82.70944#,0.90516,1,0.09
29.27975:-81.06967#,0.99647,1,0.09
28.56443:-81.74182#,0.99998,1,0.08
25.65961:-80.32587#200,0.81444,1,0.05
26.81024:-80.19893#,0.76313,1,0.05
27.94440:-82.49808#,0.5756,1,0.05
30.54229:-84.22981#,0.82276,1,0.05
